ax,ay,az,gx,gy,gz,session,reading_index
633,-1473,-1275,2127,640,1009,2025-11-12_20-04-23,45
408,-1918,157,-1004,431,84,2025-11-12_20-04-23,46
935,-1963,-571,-1010,-518,375,2025-11-12_20-04-23,47
609,-1778,-836,4117,-160,74,2025-11-12_20-04-23,48
518,-2164,-224,-1566,977,-156,2025-11-12_20-04-23,49
553,-1982,-160,-588,94,228,2025-11-12_20-04-23,50
904,-1723,-374,2383,1369,194,2025-11-12_20-04-23,51
495,-2056,25,-1150,385,-8,2025-11-12_20-04-23,52
1209,-1819,-302,-638,-26,89,2025-11-12_20-04-23,53
917,-1884,-255,4158,-404,-292,2025-11-12_20-04-23,54
409,-2024,-1157,-871,2284,-94,2025-11-12_20-04-23,55
631,-1880,-175,-507,-131,146,2025-11-12_20-04-23,56
901,-2445,-278,-3156,3822,195,2025-11-12_20-05-24,0
584,-1890,-117,-606,283,107,2025-11-12_20-05-24,1
497,-1658,150,-1559,-621,133,2025-11-12_20-05-24,2
1667,-1358,-1189,-832,2029,1772,2025-11-12_20-05-24,3
296,-1926,116,-471,580,108,2025-11-12_20-05-24,4
-130,-2254,-81,-1660,53,421,2025-11-12_20-05-24,5
1144,-1456,-1115,-270,1654,1206,2025-11-12_20-05-24,6
533,-1882,-117,-566,463,184,2025-11-12_20-05-24,7
513,-1426,-206,-895,-1240,466,2025-11-12_20-05-24,8
295,-1842,-1516,1718,-191,-201,2025-11-12_20-05-24,9
720,-1889,-361,-537,-32,218,2025-11-12_20-05-24,10
735,-1407,-537,-1391,-564,704,2025-11-12_20-05-24,11
817,-1397,-1269,2784,665,970,2025-11-12_20-05-24,12
551,-2052,-488,-1173,898,-14,2025-11-12_20-05-24,13
231,-1944,-94,-905,1248,-101,2025-11-12_20-05-24,14
940,-1977,-45,4141,482,-159,2025-11-12_20-05-24,15
1258,-2283,503,-2551,476,-200,2025-11-12_20-05-24,16
668,-1905,-95,-444,127,158,2025-11-12_20-05-24,17
249,-1220,1155,3,172,298,2025-11-12_20-05-24,18
495,-2120,-1273,-1192,3181,302,2025-11-12_20-05-24,19
533,-1959,-180,-601,1209,172,2025-11-12_20-05-24,20
932,-1802,16,2193,1777,1,2025-11-12_20-05-24,21
509,-1900,-10,-1063,685,-97,2025-11-12_20-05-24,22
