ax,ay,az,gx,gy,gz,session,reading_index
266,-1969,236,606,-2958,-44,2025-11-12_19-46-56,39
-198,-3138,-221,-1037,-432,12,2025-11-12_19-46-56,40
859,-1876,-155,-1058,869,-249,2025-11-12_19-46-56,41
277,-1678,20,61,2462,-540,2025-11-12_19-46-56,42
20,-2093,-117,2229,366,-442,2025-11-12_19-46-56,43
2,-1736,-398,2556,-1370,-261,2025-11-12_19-46-56,44
558,-2708,-257,-1230,-48,72,2025-11-12_19-46-56,45
117,-1984,-82,-772,3,-116,2025-11-12_19-46-56,46
-951,-1749,-391,-2576,1797,-759,2025-11-12_19-46-56,47
181,-2011,-185,2406,1600,-384,2025-11-12_19-46-56,48
-226,-1847,-388,1584,-937,-49,2025-11-12_19-46-56,49
339,-2031,-495,-934,-351,-39,2025-11-12_19-46-56,50
622,-1868,-194,-807,-6,-74,2025-11-12_19-46-56,51
362,-1925,-303,1671,1374,-488,2025-11-12_19-46-56,52
4,-1789,-617,530,-378,316,2025-11-12_19-46-56,53
176,-2008,-494,-650,372,-51,2025-11-12_19-46-56,54
-534,-2237,-747,-1940,3953,-462,2025-11-12_19-46-56,55
247,-2015,-553,2461,-313,-647,2025-11-12_19-46-56,56
344,-2132,-646,2356,-545,-114,2025-11-12_19-47-58,0
170,-2108,-383,-1389,-348,98,2025-11-12_19-47-58,1
349,-2036,-301,-612,-79,-143,2025-11-12_19-47-58,2
-380,-1622,-940,-3266,3287,-670,2025-11-12_19-47-58,3
178,-2046,-411,2971,434,-148,2025-11-12_19-47-58,4
517,-1822,-873,-959,393,165,2025-11-12_19-47-58,5
299,-1943,-91,-350,-474,-24,2025-11-12_19-47-58,6
222,-1917,350,593,-2958,-155,2025-11-12_19-47-58,7
-229,-2363,-43,-1222,-786,-265,2025-11-12_19-47-58,8
271,-2032,-276,-473,-583,3,2025-11-12_19-47-58,9
150,-3026,384,-2142,2790,-550,2025-11-12_19-47-58,10
133,-2058,-453,3004,507,-457,2025-11-12_19-47-58,11
670,-2159,-353,-358,-1757,422,2025-11-12_19-47-58,12
431,-1962,-75,-742,371,-142,2025-11-12_19-47-58,13
-115,-2194,-465,-792,-1080,-382,2025-11-12_19-47-58,14
80,-1778,55,2077,1172,-256,2025-11-12_19-47-58,15
-99,-1786,-414,1763,-851,-24,2025-11-12_19-47-58,16
262,-2111,-10,-1356,-565,-31,2025-11-12_19-47-58,17
363,-1978,-195,-590,-296,-124,2025-11-12_19-47-58,18
544,-1619,-132,-65,3116,-763,2025-11-12_19-47-58,19
951,-2021,-705,2482,950,304,2025-11-12_19-47-58,20
301,-2046,-211,-756,143,29,2025-11-12_19-47-58,21
-198,-2100,-170,-513,-965,-430,2025-11-12_19-47-58,22
453,-1962,-555,2181,754,-551,2025-11-12_19-47-58,23
39,-1558,-569,1340,-1546,-539,2025-11-12_19-47-58,24
531,-1950,-319,-528,-958,-66,2025-11-12_19-47-58,25
-36,-2106,-196,-680,-1021,-136,2025-11-12_19-47-58,26
163,-1689,-109,466,1943,-364,2025-11-12_19-47-58,27
427,-1769,-473,2329,425,-94,2025-11-12_19-47-58,28
172,-2084,-99,-1478,-358,60,2025-11-12_19-47-58,29
243,-2080,-202,-622,-87,-16,2025-11-12_19-47-58,30
-216,-2071,-1253,-2936,4070,-385,2025-11-12_19-47-58,31
83,-1976,-137,2960,636,-376,2025-11-12_19-47-58,32
-286,-1817,-502,636,-205,173,2025-11-12_19-47-58,33
254,-1976,24,-809,-96,52,2025-11-12_19-47-58,34
-131,-1606,-746,-39,3276,-499,2025-11-12_19-47-58,35
630,-2044,-4,1641,0,94,2025-11-12_19-47-58,36
92,-2137,-257,-873,-382,-13,2025-11-12_19-47-58,37
694,-1988,-114,-922,181,-145,2025-11-12_19-47-58,38
15,-1594,-124,-344,889,-403,2025-11-12_19-47-58,39
116,-1985,-413,2474,568,-480,2025-11-12_19-47-58,40
1015,-2189,-470,-1209,247,334,2025-11-12_19-47-58,41
