ax,ay,az,gx,gy,gz,session,reading_index
416,-1948,-389,-761,491,215,2025-11-03_14-06-05,40
-121,-1279,-1024,-890,109,-68,2025-11-03_14-06-05,41
-162,-1572,-1063,2420,359,-1479,2025-11-03_14-06-05,42
-843,-2584,-117,-1045,-1343,1123,2025-11-03_14-06-05,43
6,-1976,-63,-241,2369,-87,2025-11-03_14-06-05,44
244,-1612,-555,-901,-9,134,2025-11-03_14-06-05,45
253,-2001,-1042,-692,-135,0,2025-11-03_14-06-05,46
128,-1874,-541,-622,-158,301,2025-11-03_14-06-05,47
353,-2162,119,-889,-1035,334,2025-11-03_14-06-05,48
264,-2093,-81,-867,-3237,-577,2025-11-03_14-06-05,49
174,-1877,-694,-523,-132,389,2025-11-03_14-06-05,50
202,-1899,-225,-927,-429,123,2025-11-03_14-06-05,51
-692,-1702,-1030,2849,1243,-1648,2025-11-03_14-06-05,52
-29,-2066,-827,-945,-395,512,2025-11-03_14-06-05,53
-183,-2011,3,-428,739,-499,2025-11-03_14-06-05,54
-147,-2334,-301,76,2119,503,2025-11-03_14-06-05,55
438,-1902,-208,-537,172,246,2025-11-03_14-06-05,56
386,-2069,520,2,141,-361,2025-11-03_14-06-05,57
224,-2352,-334,-829,26,911,2025-11-03_14-06-05,58
481,-1945,44,-711,36,165,2025-11-03_14-06-05,59
145,-1948,-97,-931,3101,-183,2025-11-03_14-42-40,0
436,-1504,-1074,2576,-2152,-1120,2025-11-03_14-42-40,1
562,-2407,-89,-1617,-341,-455,2025-11-03_14-42-40,2
412,-1885,-143,-1017,-248,-47,2025-11-03_14-42-40,3
859,-2594,-741,249,927,340,2025-11-03_14-42-40,4
368,-1911,-955,1884,-255,114,2025-11-03_14-42-40,5
500,-2048,-235,-1603,77,-505,2025-11-03_14-42-40,6
249,-1791,-43,-1434,2279,-115,2025-11-03_14-42-40,7
639,-1666,317,-1011,-1001,84,2025-11-03_14-42-40,8
1130,-1813,110,-337,2725,-25,2025-11-03_14-42-40,9
412,-2220,-57,-1363,903,-175,2025-11-03_14-42-40,10
249,-1901,251,-1258,771,-109,2025-11-03_14-42-40,11
819,-5137,-260,352,-1813,114,2025-11-03_14-42-40,12
497,-1530,-1378,2889,836,-42,2025-11-03_14-42-40,13
526,-2010,-375,410,-409,-45,2025-11-03_14-42-40,14
1550,-1603,229,-812,-1788,298,2025-11-03_14-42-40,15
761,-1850,-993,3514,211,324,2025-11-03_14-42-40,16
602,-2656,-288,-1331,1276,233,2025-11-03_14-42-40,17
469,-1992,-283,-1033,617,-61,2025-11-03_14-42-40,18
395,-1994,116,-424,393,-26,2025-11-03_14-42-40,19
784,-1991,-91,149,3007,-768,2025-11-03_14-42-40,20
535,-2141,397,-1499,-18,-288,2025-11-03_14-42-40,21
277,-1986,352,-1469,5556,31,2025-11-03_14-42-40,22
1029,-910,49,-859,-1459,713,2025-11-03_14-42-40,23
470,-1993,-1201,3579,-1415,-178,2025-11-03_14-42-40,24
170,-2029,518,-656,-586,-296,2025-11-03_14-42-40,25
360,-1937,192,-715,131,208,2025-11-03_14-42-40,26
275,-2308,-1046,-1573,-1477,193,2025-11-03_14-42-40,27
943,-2036,-853,3765,-216,-168,2025-11-03_14-42-40,28
236,-2500,-673,-2487,3396,183,2025-11-03_14-42-40,29
410,-1999,-244,-140,953,-103,2025-11-03_14-42-40,30
-45,-2131,-187,-1020,1350,221,2025-11-03_14-42-40,31
650,-1766,-464,2639,904,63,2025-11-03_14-42-40,32
340,-1337,-1424,731,-947,193,2025-11-03_14-42-40,33
343,-1996,-519,-1385,971,-28,2025-11-03_14-42-40,34
807,-1837,-118,-7,-1097,632,2025-11-03_14-42-40,35
377,-1951,209,1282,-972,461,2025-11-03_14-42-40,36
1150,-2257,809,-2644,2094,-560,2025-11-03_14-42-40,37
130,-1955,-397,-949,-2411,-383,2025-11-03_14-42-40,38
-446,-2239,-104,-1819,2578,450,2025-11-03_14-42-40,39
679,-1584,-865,676,4302,1034,2025-11-03_14-42-40,40
286,-1985,-296,-148,369,-101,2025-11-03_14-42-40,41
509,-1956,-78,18,305,-87,2025-11-03_14-42-40,42
597,-1927,-45,-18,240,-41,2025-11-03_14-42-40,43
628,-1912,-7,-16,232,-20,2025-11-03_14-42-40,44
621,-1919,23,-2,217,-22,2025-11-03_14-42-40,45
639,-1916,39,-24,199,-20,2025-11-03_14-42-40,46
662,-1909,48,24,222,-41,2025-11-03_14-42-40,47
723,-1886,48,-83,217,-30,2025-11-03_14-42-40,48
704,-1891,15,-68,171,-17,2025-11-03_14-42-40,49
733,-1885,17,-69,283,-16,2025-11-03_14-42-40,50
696,-1884,-110,-13,226,-3,2025-11-03_14-42-40,51
718,-1895,-147,-34,230,-21,2025-11-03_14-42-40,52
710,-1896,-143,-8,170,-27,2025-11-03_14-42-40,53
697,-1885,-197,-19,210,-18,2025-11-03_14-42-40,54
682,-1898,-176,-22,171,-14,2025-11-03_14-42-40,55
749,-1870,-224,-42,168,-28,2025-11-03_14-42-40,56
688,-1875,-196,-7,120,-18,2025-11-03_14-42-40,57
668,-1886,-193,-1,285,-1,2025-11-03_14-42-40,58
681,-1903,-195,-11,111,-35,2025-11-03_14-42-40,59
-949,-2177,-524,-1601,47,-880,2025-11-03_15-25-08,0
937,-2075,-261,2573,594,1812,2025-11-03_15-25-08,1
1507,-1750,-364,1401,1438,2974,2025-11-03_15-25-08,2
736,-2815,41,-1972,1395,-1178,2025-11-03_15-25-08,3
193,-2152,-162,-1321,1370,-613,2025-11-03_15-25-08,4
291,-1917,-365,-833,1382,-238,2025-11-03_15-25-08,5
945,-2167,-667,-905,-1733,-618,2025-11-03_15-25-08,6
733,-1954,-26,3030,-242,1607,2025-11-03_15-25-08,7
