T,P,session,reading_index
29.43,909.16,2025-11-12_20-06-30,12
29.44,909.06,2025-11-12_20-06-30,13
29.45,909.18,2025-11-12_20-06-30,14
29.45,909.05,2025-11-12_20-06-30,15
29.45,908.96,2025-11-12_20-06-30,16
29.46,908.99,2025-11-12_20-06-30,17
29.47,908.95,2025-11-12_20-06-30,18
29.47,908.89,2025-11-12_20-06-30,19
29.48,908.94,2025-11-12_20-06-30,20
29.47,908.88,2025-11-12_20-06-30,21
29.48,908.82,2025-11-12_20-06-30,22
29.47,908.75,2025-11-12_20-06-30,23
29.48,908.78,2025-11-12_20-06-30,24
29.49,908.8,2025-11-12_20-06-30,25
29.5,908.73,2025-11-12_20-06-30,26
29.49,908.68,2025-11-12_20-06-30,27
29.5,908.69,2025-11-12_20-06-30,28
29.5,908.65,2025-11-12_20-06-30,29
29.5,908.57,2025-11-12_20-06-30,30
29.51,908.61,2025-11-12_20-06-30,31
29.52,908.65,2025-11-12_20-06-30,32
29.51,908.8,2025-11-12_20-06-30,33
29.51,908.72,2025-11-12_20-06-30,34
29.52,908.64,2025-11-12_20-06-30,35
29.51,908.57,2025-11-12_20-06-30,36
29.5,908.56,2025-11-12_20-06-30,37
29.51,908.66,2025-11-12_20-06-30,38
29.51,908.58,2025-11-12_20-06-30,39
29.52,908.62,2025-11-12_20-06-30,40
29.53,908.7,2025-11-12_20-06-30,41
29.51,908.66,2025-11-12_20-06-30,42
29.5,908.62,2025-11-12_20-06-30,43
29.51,908.65,2025-11-12_20-06-30,44
29.51,908.66,2025-11-12_20-06-30,45
29.52,908.69,2025-11-12_20-06-30,46
29.52,908.67,2025-11-12_20-06-30,47
29.52,908.66,2025-11-12_20-06-30,48
29.54,908.72,2025-11-12_20-06-30,49
29.53,908.67,2025-11-12_20-06-30,50
29.55,908.75,2025-11-12_20-06-30,51
29.54,908.7,2025-11-12_20-06-30,52
29.55,908.68,2025-11-12_20-06-30,53
29.55,908.66,2025-11-12_20-06-30,54
29.57,908.69,2025-11-12_20-06-30,55
30.6,912.4,2025-11-12_20-06-30,56
30.6,912.4,2025-11-12_20-06-30,57
29.44,909.39,2025-11-12_20-07-30,0
29.41,909.27,2025-11-12_20-07-30,1
29.42,909.25,2025-11-12_20-07-30,2
29.41,909.28,2025-11-12_20-07-30,3
29.41,909.24,2025-11-12_20-07-30,4
29.42,909.29,2025-11-12_20-07-30,5
29.41,909.32,2025-11-12_20-07-30,6
29.43,909.29,2025-11-12_20-07-30,7
29.43,909.29,2025-11-12_20-07-30,8
29.43,909.28,2025-11-12_20-07-30,9
29.42,909.14,2025-11-12_20-07-30,10
29.44,909.14,2025-11-12_20-07-30,11
29.43,909.16,2025-11-12_20-07-30,12
29.44,909.06,2025-11-12_20-07-30,13
29.45,909.18,2025-11-12_20-07-30,14
29.45,909.05,2025-11-12_20-07-30,15
29.45,908.96,2025-11-12_20-07-30,16
29.46,908.99,2025-11-12_20-07-30,17
29.47,908.95,2025-11-12_20-07-30,18
29.47,908.89,2025-11-12_20-07-30,19
29.48,908.94,2025-11-12_20-07-30,20
29.47,908.88,2025-11-12_20-07-30,21
29.48,908.82,2025-11-12_20-07-30,22
29.47,908.75,2025-11-12_20-07-30,23
29.48,908.78,2025-11-12_20-07-30,24
29.49,908.8,2025-11-12_20-07-30,25
29.5,908.73,2025-11-12_20-07-30,26
29.49,908.68,2025-11-12_20-07-30,27
29.5,908.69,2025-11-12_20-07-30,28
29.5,908.65,2025-11-12_20-07-30,29
29.5,908.57,2025-11-12_20-07-30,30
29.51,908.61,2025-11-12_20-07-30,31
29.52,908.65,2025-11-12_20-07-30,32
29.51,908.8,2025-11-12_20-07-30,33
29.51,908.72,2025-11-12_20-07-30,34
29.52,908.64,2025-11-12_20-07-30,35
29.51,908.57,2025-11-12_20-07-30,36
29.5,908.56,2025-11-12_20-07-30,37
29.51,908.66,2025-11-12_20-07-30,38
29.51,908.58,2025-11-12_20-07-30,39
29.52,908.62,2025-11-12_20-07-30,40
29.53,908.7,2025-11-12_20-07-30,41
29.51,908.66,2025-11-12_20-07-30,42
29.5,908.62,2025-11-12_20-07-30,43
29.51,908.65,2025-11-12_20-07-30,44
29.51,908.66,2025-11-12_20-07-30,45
29.52,908.69,2025-11-12_20-07-30,46
29.52,908.67,2025-11-12_20-07-30,47
29.52,908.66,2025-11-12_20-07-30,48
29.54,908.72,2025-11-12_20-07-30,49
29.53,908.67,2025-11-12_20-07-30,50
29.55,908.75,2025-11-12_20-07-30,51
29.54,908.7,2025-11-12_20-07-30,52
29.55,908.68,2025-11-12_20-07-30,53
29.55,908.66,2025-11-12_20-07-30,54
29.57,908.69,2025-11-12_20-07-30,55
30.6,912.4,2025-11-12_20-07-30,56
30.6,912.4,2025-11-12_20-07-30,57
29.44,909.39,2025-11-12_20-08-30,0
29.41,909.27,2025-11-12_20-08-30,1
29.42,909.25,2025-11-12_20-08-30,2
29.41,909.28,2025-11-12_20-08-30,3
29.41,909.24,2025-11-12_20-08-30,4
29.42,909.29,2025-11-12_20-08-30,5
29.41,909.32,2025-11-12_20-08-30,6
29.43,909.29,2025-11-12_20-08-30,7
29.43,909.29,2025-11-12_20-08-30,8
29.43,909.28,2025-11-12_20-08-30,9
29.42,909.14,2025-11-12_20-08-30,10
29.44,909.14,2025-11-12_20-08-30,11
29.43,909.16,2025-11-12_20-08-30,12
29.44,909.06,2025-11-12_20-08-30,13
29.45,909.18,2025-11-12_20-08-30,14
29.45,909.05,2025-11-12_20-08-30,15
29.45,908.96,2025-11-12_20-08-30,16
29.46,908.99,2025-11-12_20-08-30,17
29.47,908.95,2025-11-12_20-08-30,18
29.47,908.89,2025-11-12_20-08-30,19
29.48,908.94,2025-11-12_20-08-30,20
29.47,908.88,2025-11-12_20-08-30,21
29.48,908.82,2025-11-12_20-08-30,22
29.47,908.75,2025-11-12_20-08-30,23
29.48,908.78,2025-11-12_20-08-30,24
29.49,908.8,2025-11-12_20-08-30,25
29.5,908.73,2025-11-12_20-08-30,26
29.49,908.68,2025-11-12_20-08-30,27
29.5,908.69,2025-11-12_20-08-30,28
29.5,908.65,2025-11-12_20-08-30,29
29.5,908.57,2025-11-12_20-08-30,30
29.51,908.61,2025-11-12_20-08-30,31
29.52,908.65,2025-11-12_20-08-30,32
29.51,908.8,2025-11-12_20-08-30,33
29.51,908.72,2025-11-12_20-08-30,34
29.52,908.64,2025-11-12_20-08-30,35
29.51,908.57,2025-11-12_20-08-30,36
29.5,908.56,2025-11-12_20-08-30,37
29.51,908.66,2025-11-12_20-08-30,38
29.51,908.58,2025-11-12_20-08-30,39
29.52,908.62,2025-11-12_20-08-30,40
29.53,908.7,2025-11-12_20-08-30,41
29.51,908.66,2025-11-12_20-08-30,42
29.5,908.62,2025-11-12_20-08-30,43
29.51,908.65,2025-11-12_20-08-30,44
29.51,908.66,2025-11-12_20-08-30,45
29.52,908.69,2025-11-12_20-08-30,46
29.52,908.67,2025-11-12_20-08-30,47
29.52,908.66,2025-11-12_20-08-30,48
29.54,908.72,2025-11-12_20-08-30,49
29.53,908.67,2025-11-12_20-08-30,50
29.55,908.75,2025-11-12_20-08-30,51
29.54,908.7,2025-11-12_20-08-30,52
29.55,908.68,2025-11-12_20-08-30,53
29.55,908.66,2025-11-12_20-08-30,54
29.57,908.69,2025-11-12_20-08-30,55
30.6,912.4,2025-11-12_20-08-30,56
30.6,912.4,2025-11-12_20-08-30,57
29.44,909.39,2025-11-12_20-09-30,0
29.41,909.27,2025-11-12_20-09-30,1
29.42,909.25,2025-11-12_20-09-30,2
29.41,909.28,2025-11-12_20-09-30,3
29.41,909.24,2025-11-12_20-09-30,4
29.42,909.29,2025-11-12_20-09-30,5
29.41,909.32,2025-11-12_20-09-30,6
29.43,909.29,2025-11-12_20-09-30,7
29.43,909.29,2025-11-12_20-09-30,8
29.43,909.28,2025-11-12_20-09-30,9
29.42,909.14,2025-11-12_20-09-30,10
29.44,909.14,2025-11-12_20-09-30,11
29.43,909.16,2025-11-12_20-09-30,12
29.44,909.06,2025-11-12_20-09-30,13
29.45,909.18,2025-11-12_20-09-30,14
29.45,909.05,2025-11-12_20-09-30,15
29.45,908.96,2025-11-12_20-09-30,16
29.46,908.99,2025-11-12_20-09-30,17
29.47,908.95,2025-11-12_20-09-30,18
29.47,908.89,2025-11-12_20-09-30,19
29.48,908.94,2025-11-12_20-09-30,20
29.47,908.88,2025-11-12_20-09-30,21
29.48,908.82,2025-11-12_20-09-30,22
29.47,908.75,2025-11-12_20-09-30,23
29.48,908.78,2025-11-12_20-09-30,24
29.49,908.8,2025-11-12_20-09-30,25
29.5,908.73,2025-11-12_20-09-30,26
29.49,908.68,2025-11-12_20-09-30,27
29.5,908.69,2025-11-12_20-09-30,28
29.5,908.65,2025-11-12_20-09-30,29
29.5,908.57,2025-11-12_20-09-30,30
29.51,908.61,2025-11-12_20-09-30,31
29.52,908.65,2025-11-12_20-09-30,32
29.51,908.8,2025-11-12_20-09-30,33
29.51,908.72,2025-11-12_20-09-30,34
29.52,908.64,2025-11-12_20-09-30,35
29.51,908.57,2025-11-12_20-09-30,36
29.5,908.56,2025-11-12_20-09-30,37
29.51,908.66,2025-11-12_20-09-30,38
29.51,908.58,2025-11-12_20-09-30,39
29.52,908.62,2025-11-12_20-09-30,40
29.53,908.7,2025-11-12_20-09-30,41
29.51,908.66,2025-11-12_20-09-30,42
29.5,908.62,2025-11-12_20-09-30,43
29.51,908.65,2025-11-12_20-09-30,44
29.51,908.66,2025-11-12_20-09-30,45
29.52,908.69,2025-11-12_20-09-30,46
29.52,908.67,2025-11-12_20-09-30,47
29.52,908.66,2025-11-12_20-09-30,48
29.54,908.72,2025-11-12_20-09-30,49
29.53,908.67,2025-11-12_20-09-30,50
29.55,908.75,2025-11-12_20-09-30,51
29.54,908.7,2025-11-12_20-09-30,52
29.55,908.68,2025-11-12_20-09-30,53
29.55,908.66,2025-11-12_20-09-30,54
29.57,908.69,2025-11-12_20-09-30,55
30.6,912.4,2025-11-12_20-09-30,56
30.6,912.4,2025-11-12_20-09-30,57
29.44,909.39,2025-11-12_20-10-30,0
29.41,909.27,2025-11-12_20-10-30,1
29.42,909.25,2025-11-12_20-10-30,2
29.41,909.28,2025-11-12_20-10-30,3
29.41,909.24,2025-11-12_20-10-30,4
29.42,909.29,2025-11-12_20-10-30,5
29.41,909.32,2025-11-12_20-10-30,6
